-0.42053,0.46365,18.371
-0.39541,0.46364,18.173
-0.36976,0.46365,17.986
-0.34358,0.46365,17.812
-0.3169,0.46365,17.649
-0.28975,0.46364,17.5
-0.26215,0.46365,17.364
-0.23414,0.46365,17.241
-0.20574,0.46365,17.132
-0.17701,0.46365,17.037
-0.14798,0.46364,16.956
-0.11869,0.46365,16.889
-0.089206,0.46365,16.837
-0.059558,0.46364,16.8
-0.029795,0.46365,16.778
-5.8516e-06,0.46364,16.77
0.029807,0.46364,16.778
0.05956,0.46364,16.8
0.089209,0.46364,16.837
0.1187,0.46365,16.889
0.14798,0.46365,16.956
0.17701,0.46365,17.037
0.20574,0.46365,17.132
0.23414,0.46365,17.241
0.26215,0.46364,17.364
0.28975,0.46365,17.5
0.3169,0.46365,17.649
0.34358,0.46364,17.812
0.36976,0.46364,17.986
0.39541,0.46365,18.173
0.42054,0.46365,18.371
0.42542,0.43663,18.173
0.43012,0.40891,17.986
0.43463,0.3805,17.812
0.4389,0.35144,17.649
0.44291,0.32175,17.5
0.44664,0.29146,17.364
0.45005,0.26061,17.241
0.45313,0.22923,17.132
0.45585,0.1974,17.037
0.45819,0.16515,16.956
0.46014,0.13255,16.889
0.46166,0.099669,16.838
0.46276,0.066566,16.8
0.46342,0.033318,16.778
0.46365,-2.6488e-06,16.77
0.46342,-0.033316,16.778
0.46276,-0.066572,16.8
0.46166,-0.09967,16.837
0.46013,-0.13255,16.889
0.4582,-0.16515,16.956
0.45585,-0.19739,17.037
0.45313,-0.22923,17.132
0.45005,-0.26061,17.241
0.44664,-0.29145,17.364
0.44291,-0.32175,17.5
0.43889,-0.35144,17.649
0.43463,-0.38051,17.811
0.43013,-0.40891,17.986
0.42542,-0.43663,18.173
0.42054,-0.46365,18.371
0.42053,-0.46365,18.371
0.39542,-0.46365,18.173
0.36976,-0.46365,17.986
0.34358,-0.46365,17.812
0.3169,-0.46365,17.649
0.28975,-0.46365,17.5
0.26215,-0.46365,17.364
0.23414,-0.46365,17.241
0.20574,-0.46365,17.132
0.17702,-0.46365,17.037
0.14798,-0.46365,16.956
0.11869,-0.46365,16.889
0.089205,-0.46365,16.837
0.059559,-0.46365,16.8
0.029803,-0.46365,16.778
-1.8828e-06,-0.46365,16.77
-0.029809,-0.46365,16.778
-0.059551,-0.46365,16.8
-0.089205,-0.46365,16.837
-0.1187,-0.46365,16.889
-0.14798,-0.46365,16.956
-0.17701,-0.46365,17.037
-0.20575,-0.46365,17.132
-0.23414,-0.46364,17.241
-0.26215,-0.46365,17.364
-0.28976,-0.46365,17.5
-0.3169,-0.46365,17.649
-0.34358,-0.46365,17.812
-0.36975,-0.46365,17.986
-0.39542,-0.46365,18.173
-0.42054,-0.46364,18.371
-0.42542,-0.43663,18.173
-0.43013,-0.40891,17.986
-0.43463,-0.3805,17.812
-0.4389,-0.35144,17.649
-0.44291,-0.32175,17.5
-0.44664,-0.29145,17.364
-0.45006,-0.26061,17.241
-0.45313,-0.22923,17.132
-0.45585,-0.19739,17.037
-0.45819,-0.16515,16.956
-0.46013,-0.13255,16.889
-0.46166,-0.099666,16.837
-0.46276,-0.066565,16.8
-0.46342,-0.03332,16.778
-0.46365,2.649e-06,16.77
-0.46343,0.033321,16.778
-0.46276,0.066573,16.8
-0.46166,0.099666,16.837
-0.46014,0.13255,16.889
-0.45819,0.16515,16.956
-0.45585,0.1974,17.037
-0.45313,0.22923,17.132
-0.45005,0.2606,17.241
-0.44663,0.29146,17.364
-0.44291,0.32175,17.5
-0.4389,0.35145,17.649
-0.43463,0.38051,17.811
-0.43013,0.4089,17.986
-0.42542,0.43663,18.173
-0.42053,0.46364,18.371
